 Neutron Energy  Cross Section
        eV            barn
   4.421094E-02   2.636051E+01  
   4.614063E-02   2.612535E+01  
   4.807032E-02   2.590785E+01  
   5.000000E-02   2.570611E+01  
   5.156250E-02   2.555318E+01  
   5.312500E-02   2.540874E+01  
   5.468750E-02   2.527212E+01  
   5.625000E-02   2.514271E+01  
   5.781250E-02   2.501996E+01  
   5.937500E-02   2.490337E+01  
   6.093750E-02   2.479251E+01  
   6.250000E-02   2.468695E+01  
   6.406250E-02   2.458634E+01  
   6.562500E-02   2.449034E+01  
   6.718750E-02   2.439865E+01  
   6.875000E-02   2.431098E+01  
   7.187500E-02   2.414672E+01  
   7.500000E-02   2.399576E+01  
   7.812500E-02   2.385656E+01  
   8.125000E-02   2.372781E+01  
   8.437500E-02   2.360839E+01  
   8.750000E-02   2.349734E+01  
   9.062500E-02   2.339382E+01  
   9.375000E-02   2.329709E+01  
   9.687500E-02   2.320651E+01  
   1.000000E-01   2.312152E+01  
   1.031250E-01   2.304162E+01  
   1.062500E-01   2.296637E+01  
   1.093750E-01   2.289538E+01  
   1.125000E-01   2.282830E+01  
   1.156250E-01   2.276481E+01  
   1.187500E-01   2.270465E+01  
   1.218750E-01   2.264755E+01  
   1.250000E-01   2.259329E+01  
   1.281250E-01   2.254166E+01  
   1.312500E-01   2.249248E+01  
   1.343750E-01   2.244558E+01  
   1.375000E-01   2.240080E+01  
   1.437500E-01   2.231707E+01  
   1.500000E-01   2.224029E+01  
   1.562500E-01   2.216964E+01  
   1.625000E-01   2.210441E+01  
   1.687500E-01   2.204400E+01  
   1.750000E-01   2.198791E+01  
   1.812500E-01   2.193567E+01  
   1.875000E-01   2.188692E+01  
   1.937500E-01   2.184131E+01  
   2.000000E-01   2.179854E+01  
   2.093750E-01   2.173918E+01  
   2.187500E-01   2.168490E+01  
   2.281250E-01   2.163508E+01  
   2.375000E-01   2.158919E+01  
   2.468750E-01   2.154678E+01  
   2.562500E-01   2.150747E+01  
   2.656250E-01   2.147093E+01  
   2.750000E-01   2.143689E+01  
   2.843750E-01   2.140508E+01  
   2.937500E-01   2.137531E+01  
   3.031250E-01   2.134737E+01  
   3.125000E-01   2.132111E+01  
   3.218750E-01   2.129638E+01  
   3.312500E-01   2.127304E+01  
   3.406250E-01   2.125099E+01  
   3.500000E-01   2.123012E+01  
   3.593750E-01   2.121034E+01  
   3.687500E-01   2.119156E+01  
   3.781250E-01   2.117371E+01  
   3.875000E-01   2.115673E+01  
   3.968750E-01   2.114055E+01  
   4.062500E-01   2.112511E+01  
   4.250000E-01   2.109627E+01  
   4.437500E-01   2.106987E+01  
   4.625000E-01   2.104561E+01  
   5.000000E-01   2.100254E+01  
   5.312500E-01   2.097128E+01  
   5.625000E-01   2.094349E+01  
   5.937500E-01   2.091862E+01  
   6.250000E-01   2.089623E+01  
   6.875000E-01   2.085756E+01  
   7.500000E-01   2.082531E+01  
   8.125000E-01   2.079802E+01  
   8.750000E-01   2.077461E+01  
   9.375000E-01   2.075432E+01  
   1.000000E+00   2.073656E+01  
   1.062500E+00   2.072088E+01  
   1.125000E+00   2.070694E+01  
   1.187500E+00   2.069446E+01  
   1.250000E+00   2.068322E+01  
   1.375000E+00   2.066380E+01  
   1.500000E+00   2.064761E+01  
   1.625000E+00   2.063390E+01  
   1.750000E+00   2.062213E+01  
   1.875000E+00   2.061193E+01  
   2.000000E+00   2.060299E+01  
   2.187500E+00   2.059149E+01  
   2.375000E+00   2.058180E+01  
   2.562500E+00   2.057351E+01  
   2.750000E+00   2.056635E+01  
   2.937500E+00   2.056009E+01  
   3.125000E+00   2.055458E+01  
   3.312500E+00   2.054968E+01  
   3.500000E+00   2.054531E+01  
   3.875000E+00   2.053782E+01  
   4.250000E+00   2.053163E+01  
   4.625000E+00   2.052643E+01  
   5.000000E+00   2.052201E+01  
   5.312500E+00   2.051879E+01  
   5.625000E+00   2.051593E+01  
   5.937500E+00   2.051336E+01  
   6.250000E+00   2.051104E+01  
   6.875000E+00   2.050703E+01  
   7.500000E+00   2.050368E+01  
   8.125000E+00   2.050083E+01  
   8.750000E+00   2.049837E+01  
   9.375000E+00   2.049624E+01  
   1.000000E+01   2.049436E+01  
   1.062500E+01   2.049270E+01  
   1.125000E+01   2.049122E+01  
   1.187500E+01   2.048989E+01  
   1.250000E+01   2.048869E+01  
   1.375000E+01   2.048660E+01  
   1.500000E+01   2.048486E+01  
   1.625000E+01   2.048336E+01  
   1.750000E+01   2.048207E+01  
   1.875000E+01   2.048095E+01  
   2.000000E+01   2.047996E+01  
   2.187500E+01   2.047867E+01  
   2.375000E+01   2.047758E+01  
   2.562500E+01   2.047663E+01  
   2.750000E+01   2.047581E+01  
   2.937500E+01   2.047508E+01  
   3.125000E+01   2.047444E+01  
   3.312500E+01   2.047386E+01  
   3.500000E+01   2.047334E+01  
   3.875000E+01   2.047243E+01  
   4.250000E+01   2.047168E+01  
   4.625000E+01   2.047103E+01  
   5.000000E+01   2.047046E+01  
   5.312500E+01   2.047005E+01  
   5.625000E+01   2.046968E+01  
   5.937500E+01   2.046934E+01  
   6.250000E+01   2.046903E+01  
   6.875000E+01   2.046848E+01  
   7.500000E+01   2.046802E+01  
   8.125000E+01   2.046761E+01  
   8.750000E+01   2.046725E+01  
   9.375000E+01   2.046693E+01  
   1.000000E+02   2.046619E+01  
   1.062500E+02   2.046332E+01  
   1.125000E+02   2.046019E+01  
   1.187500E+02   2.045724E+01  
   1.250000E+02   2.045446E+01  
   1.375000E+02   2.044930E+01  
   1.500000E+02   2.044459E+01  
   1.625000E+02   2.044028E+01  
   1.750000E+02   2.043629E+01  
   1.875000E+02   2.043258E+01  
   2.000000E+02   2.042913E+01  
   2.187500E+02   2.042435E+01  
   2.375000E+02   2.041996E+01  
   2.562500E+02   2.041592E+01  
   2.750000E+02   2.041216E+01  
   2.937500E+02   2.040866E+01  
   3.125000E+02   2.040538E+01  
   3.312500E+02   2.040229E+01  
   3.500000E+02   2.039938E+01  
   3.875000E+02   2.039402E+01  
   4.250000E+02   2.038914E+01  
   4.625000E+02   2.038469E+01  
   5.000000E+02   2.038059E+01  
   5.312500E+02   2.037739E+01  
   5.625000E+02   2.037439E+01  
   5.937500E+02   2.037156E+01  
   6.250000E+02   2.036887E+01  
   6.875000E+02   2.036387E+01  
   7.500000E+02   2.035931E+01  
   8.125000E+02   2.035512E+01  
   8.750000E+02   2.035125E+01  
   9.375000E+02   2.034764E+01  
   1.000000E+03   2.034350E+01  
   1.062500E+03   2.032456E+01  
   1.125000E+03   2.030600E+01  
   1.250000E+03   2.027180E+01  
   1.375000E+03   2.024089E+01  
   1.500000E+03   2.021272E+01  
   1.625000E+03   2.018684E+01  
   1.750000E+03   2.016291E+01  
   1.875000E+03   2.014066E+01  
   2.000000E+03   2.011987E+01  
   2.250000E+03   2.008198E+01  
   2.500000E+03   2.004817E+01  
   2.750000E+03   2.001763E+01  
   3.000000E+03   1.998977E+01  
   3.250000E+03   1.996419E+01  
   3.500000E+03   1.994053E+01  
   3.750000E+03   1.991854E+01  
   4.000000E+03   1.989798E+01  
   4.250000E+03   1.987868E+01  
   4.500000E+03   1.986052E+01  
   4.750000E+03   1.984334E+01  
   5.000000E+03   1.982638E+01  
   5.500000E+03   1.974283E+01  
   6.000000E+03   1.966615E+01  
   6.750000E+03   1.956285E+01  
   7.500000E+03   1.947090E+01  
   8.000000E+03   1.941480E+01  
   8.500000E+03   1.936225E+01  
   9.000000E+03   1.931283E+01  
   9.500000E+03   1.926619E+01  
   1.000000E+04   1.922139E+01  
