 Neutron Energy  Cross Section
        eV            barn
  2.463750E-02   5.935040E+02   
  2.530000E-02   5.849139E+02   
  2.583067E-02   5.782627E+02   
  2.636133E-02   5.718047E+02   
  2.689200E-02   5.655299E+02   
  2.742266E-02   5.594297E+02   
  2.848399E-02   5.477196E+02   
  2.954532E-02   5.366147E+02   
  3.060665E-02   5.260624E+02   
  3.166798E-02   5.160169E+02   
  3.272931E-02   5.064374E+02   
  3.379063E-02   4.972878E+02   
  3.504493E-02   4.869853E+02   
  3.629923E-02   4.771918E+02   
  3.755353E-02   4.678662E+02   
  3.880782E-02   4.589718E+02   
  4.006212E-02   4.504754E+02   
  4.131641E-02   4.423472E+02   
  4.257071E-02   4.345599E+02   
  4.382500E-02   4.270896E+02   
  4.536875E-02   4.182994E+02   
  4.691250E-02   4.099226E+02   
  4.845625E-02   4.019283E+02   
  5.000000E-02   3.942890E+02   
  5.156250E-02   3.868926E+02   
  5.312500E-02   3.798107E+02   
  5.468750E-02   3.730219E+02   
  5.625000E-02   3.665072E+02   
  5.781250E-02   3.602490E+02   
  5.937500E-02   3.542315E+02   
  6.093750E-02   3.484403E+02   
  6.250000E-02   3.428621E+02   
  6.406250E-02   3.374847E+02   
  6.562500E-02   3.322972E+02   
  6.718750E-02   3.272891E+02   
  6.875000E-02   3.224510E+02   
  7.031250E-02   3.177742E+02   
  7.187500E-02   3.132505E+02   
  7.343750E-02   3.088726E+02   
  7.500000E-02   3.046334E+02   
  7.656250E-02   3.005266E+02   
  7.812500E-02   2.965464E+02   
  7.968750E-02   2.926872E+02   
  8.125000E-02   2.889440E+02   
  8.281250E-02   2.853116E+02   
  8.437500E-02   2.817849E+02   
  8.750000E-02   2.750303E+02   
  9.062500E-02   2.686462E+02   
  9.375000E-02   2.626051E+02   
  9.687500E-02   2.568835E+02   
  1.000000E-01   2.514602E+02   
  1.019693E-01   2.481871E+02   
  1.039386E-01   2.450205E+02   
  1.059079E-01   2.419561E+02   
  1.078771E-01   2.389901E+02   
  1.098464E-01   2.361187E+02   
  1.118156E-01   2.333385E+02   
  1.157541E-01   2.280386E+02   
  1.196927E-01   2.230671E+02   
  1.236312E-01   2.184038E+02   
  1.275697E-01   2.140309E+02   
  1.315082E-01   2.099327E+02   
  1.350887E-01   2.064341E+02   
  1.386692E-01   2.031425E+02   
  1.422497E-01   2.000501E+02   
  1.458301E-01   1.971503E+02   
  1.494106E-01   1.944371E+02   
  1.529910E-01   1.919057E+02   
  1.565715E-01   1.895519E+02   
  1.601519E-01   1.873723E+02   
  1.640905E-01   1.851729E+02   
  1.680290E-01   1.831784E+02   
  1.719675E-01   1.813871E+02   
  1.759060E-01   1.797979E+02   
  1.798445E-01   1.784107E+02   
  1.837830E-01   1.772260E+02   
  1.877215E-01   1.762446E+02   
  1.916600E-01   1.754667E+02   
  1.958300E-01   1.748651E+02   
  2.000000E-01   1.744926E+02   
  2.023061E-01   1.743857E+02   
  2.046121E-01   1.743500E+02   
  2.069182E-01   1.743856E+02   
  2.092242E-01   1.744923E+02   
  2.138363E-01   1.749169E+02   
  2.184484E-01   1.756156E+02   
  2.230605E-01   1.765761E+02   
  2.276726E-01   1.777822E+02   
  2.322847E-01   1.792114E+02   
  2.368967E-01   1.808329E+02   
  2.409323E-01   1.823780E+02   
  2.449679E-01   1.840061E+02   
  2.490035E-01   1.856780E+02   
  2.530390E-01   1.873485E+02   
  2.550568E-01   1.881678E+02   
  2.570746E-01   1.889676E+02   
  2.590924E-01   1.897411E+02   
  2.611102E-01   1.904812E+02   
  2.631280E-01   1.911810E+02   
  2.651458E-01   1.918333E+02   
  2.671636E-01   1.924314E+02   
  2.691813E-01   1.929684E+02   
  2.709760E-01   1.933894E+02   
  2.727707E-01   1.937528E+02   
  2.745654E-01   1.940542E+02   
  2.763601E-01   1.942901E+02   
  2.782852E-01   1.944663E+02   
  2.802103E-01   1.945593E+02   
  2.821354E-01   1.945659E+02   
  2.840604E-01   1.944834E+02   
  2.858251E-01   1.943278E+02   
  2.875898E-01   1.940945E+02   
  2.893545E-01   1.937828E+02   
  2.911191E-01   1.933926E+02   
  2.928838E-01   1.929241E+02   
  2.946484E-01   1.923781E+02   
  2.964131E-01   1.917554E+02   
  2.981777E-01   1.910578E+02   
  2.999424E-01   1.902871E+02   
  3.017071E-01   1.894455E+02   
  3.034718E-01   1.885355E+02   
  3.052364E-01   1.875602E+02   
  3.087657E-01   1.854256E+02   
  3.122950E-01   1.830689E+02   
  3.167869E-01   1.797949E+02   
  3.212787E-01   1.762727E+02   
  3.257706E-01   1.725654E+02   
  3.302624E-01   1.687325E+02   
  3.347543E-01   1.648275E+02   
  3.392461E-01   1.608973E+02   
  3.437380E-01   1.569820E+02   
  3.459839E-01   1.550407E+02   
  3.482298E-01   1.531151E+02   
  3.514435E-01   1.503934E+02   
  3.546571E-01   1.477184E+02   
  3.578707E-01   1.450963E+02   
  3.610843E-01   1.425322E+02   
  3.642980E-01   1.400298E+02   
  3.675116E-01   1.375922E+02   
  3.707252E-01   1.352210E+02   
  3.739388E-01   1.329175E+02   
  3.770341E-01   1.307630E+02   
  3.801293E-01   1.286717E+02   
  3.832246E-01   1.266427E+02   
  3.863198E-01   1.246756E+02   
  3.894151E-01   1.227690E+02   
  3.925103E-01   1.209219E+02   
  3.956056E-01   1.191327E+02   
  3.987008E-01   1.173999E+02   
  4.017961E-01   1.157219E+02   
  4.048914E-01   1.140969E+02   
  4.079867E-01   1.125233E+02   
  4.110819E-01   1.109994E+02   
  4.141772E-01   1.095233E+02   
  4.172724E-01   1.080935E+02   
  4.203677E-01   1.067082E+02   
  4.234629E-01   1.053658E+02   
  4.259954E-01   1.042982E+02   
  4.285279E-01   1.032573E+02   
  4.310604E-01   1.022424E+02   
  4.335928E-01   1.012525E+02   
  4.361253E-01   1.002867E+02   
  4.386578E-01   9.934437E+01   
  4.411903E-01   9.842462E+01   
  4.437227E-01   9.752679E+01   
  4.462552E-01   9.665010E+01   
  4.487877E-01   9.579393E+01   
  4.513202E-01   9.495762E+01   
  4.538526E-01   9.414060E+01   
  4.589176E-01   9.256187E+01   
  4.639825E-01   9.105324E+01   
  4.673592E-01   9.008429E+01   
  4.707358E-01   8.914345E+01   
  4.741125E-01   8.822959E+01   
  4.774891E-01   8.734170E+01   
  4.808658E-01   8.647876E+01   
  4.842424E-01   8.563983E+01   
  4.876191E-01   8.482388E+01   
  4.909957E-01   8.403001E+01   
  5.000000E-01   8.201433E+01   
  5.078125E-01   8.037705E+01   
  5.156250E-01   7.883547E+01   
  5.312500E-01   7.600161E+01   
  5.468750E-01   7.345607E+01   
  5.625000E-01   7.116564E+01   
  5.781250E-01   6.909896E+01   
  5.937500E-01   6.722959E+01   
  6.093750E-01   6.553600E+01   
  6.250000E-01   6.400063E+01   
  6.406250E-01   6.260918E+01   
  6.562500E-01   6.135002E+01   
  6.718750E-01   6.021380E+01   
  6.875000E-01   5.919310E+01   
  7.031250E-01   5.828223E+01   
  7.187500E-01   5.747707E+01   
  7.343750E-01   5.677495E+01   
  7.500000E-01   5.617460E+01   
  7.734375E-01   5.546563E+01   
  7.968750E-01   5.499318E+01   
  8.125000E-01   5.481678E+01   
  8.281250E-01   5.475907E+01   
  8.398438E-01   5.479918E+01   
  8.515625E-01   5.491617E+01   
  8.632813E-01   5.511596E+01   
  8.750000E-01   5.540555E+01   
  8.906250E-01   5.594491E+01   
  9.062500E-01   5.668010E+01   
  9.169922E-01   5.731661E+01   
  9.277344E-01   5.807580E+01   
  9.384766E-01   5.897187E+01   
  9.492188E-01   6.002075E+01   
  9.599610E-01   6.124156E+01   
  9.707032E-01   6.265682E+01   
  9.760743E-01   6.344533E+01   
  9.814454E-01   6.429244E+01   
  9.868165E-01   6.520195E+01   
  9.921875E-01   6.617789E+01   
  1.000000E+00   6.772497E+01   
  1.008296E+00   6.954729E+01   
  1.016591E+00   7.157112E+01   
  1.024887E+00   7.381363E+01   
  1.029035E+00   7.502155E+01   
  1.033182E+00   7.628907E+01   
  1.037330E+00   7.761802E+01   
  1.041478E+00   7.900891E+01   
  1.045626E+00   8.046195E+01   
  1.049773E+00   8.197629E+01   
  1.053921E+00   8.355121E+01   
  1.058068E+00   8.518338E+01   
  1.062216E+00   8.686956E+01   
  1.066363E+00   8.860325E+01   
  1.074195E+00   9.197920E+01   
  1.082026E+00   9.542125E+01   
  1.089857E+00   9.881910E+01   
  1.097688E+00   1.020210E+02   
  1.105519E+00   1.048329E+02   
  1.113350E+00   1.070259E+02   
  1.117266E+00   1.078137E+02   
  1.121181E+00   1.083552E+02   
  1.125097E+00   1.086225E+02   
  1.129012E+00   1.085907E+02   
  1.134235E+00   1.080482E+02   
  1.139457E+00   1.069054E+02   
  1.144679E+00   1.051507E+02   
  1.149901E+00   1.027960E+02   
  1.153492E+00   1.008463E+02   
  1.157083E+00   9.864717E+01   
  1.160674E+00   9.622091E+01   
  1.164265E+00   9.359359E+01   
  1.167856E+00   9.079423E+01   
  1.171447E+00   8.785381E+01   
  1.175038E+00   8.480435E+01   
  1.178628E+00   8.167884E+01   
  1.185810E+00   7.531903E+01   
  1.192991E+00   6.900419E+01   
  1.200173E+00   6.291892E+01   
  1.207354E+00   5.720128E+01   
  1.212907E+00   5.308792E+01   
  1.218460E+00   4.926848E+01   
  1.224013E+00   4.575193E+01   
  1.229565E+00   4.253779E+01   
  1.235118E+00   3.961688E+01   
  1.240670E+00   3.697809E+01   
  1.246223E+00   3.460683E+01   
  1.251775E+00   3.249115E+01   
  1.256815E+00   3.078291E+01   
  1.261854E+00   2.927170E+01   
  1.266893E+00   2.795440E+01   
  1.271932E+00   2.682944E+01   
  1.276972E+00   2.589439E+01   
  1.282011E+00   2.514393E+01   
  1.287050E+00   2.456599E+01   
  1.292089E+00   2.414055E+01   
  1.295561E+00   2.392154E+01   
  1.300774E+00   2.367820E+01   
  1.305986E+00   2.349975E+01   
  1.316411E+00   2.317656E+01   
  1.322489E+00   2.293264E+01   
  1.328566E+00   2.262046E+01   
  1.334643E+00   2.224286E+01   
  1.340720E+00   2.181673E+01   
  1.346798E+00   2.136478E+01   
  1.352875E+00   2.090900E+01   
  1.358952E+00   2.046638E+01   
  1.365029E+00   2.004801E+01   
  1.370234E+00   1.971341E+01   
  1.375438E+00   1.940215E+01   
  1.382595E+00   1.901155E+01   
  1.389751E+00   1.866156E+01   
  1.396908E+00   1.834792E+01   
  1.404064E+00   1.806640E+01   
  1.411221E+00   1.781291E+01   
  1.418377E+00   1.758394E+01   
  1.425534E+00   1.737629E+01   
  1.432690E+00   1.718730E+01   
  1.447003E+00   1.685614E+01   
  1.461316E+00   1.657536E+01   
  1.475629E+00   1.633386E+01   
  1.489941E+00   1.612340E+01   
  1.503604E+00   1.594552E+01   
  1.517266E+00   1.578545E+01   
  1.530929E+00   1.563966E+01   
  1.544591E+00   1.550573E+01   
  1.558254E+00   1.538175E+01   
  1.571916E+00   1.526615E+01   
  1.585578E+00   1.515761E+01   
  1.599240E+00   1.505508E+01   
  1.612903E+00   1.495769E+01   
  1.626565E+00   1.486478E+01   
  1.653889E+00   1.469035E+01   
  1.667552E+00   1.460808E+01   
  1.681214E+00   1.452876E+01   
  1.694876E+00   1.445223E+01   
  1.708538E+00   1.437840E+01   
  1.729357E+00   1.427103E+01   
  1.750175E+00   1.417008E+01   
  1.760585E+00   1.412224E+01   
  1.770994E+00   1.407638E+01   
  1.781404E+00   1.403268E+01   
  1.791813E+00   1.399140E+01   
  1.802223E+00   1.395284E+01   
  1.812632E+00   1.391740E+01   
  1.823041E+00   1.388559E+01   
  1.833450E+00   1.385807E+01   
  1.843860E+00   1.383573E+01   
  1.849065E+00   1.382684E+01   
  1.854269E+00   1.381971E+01   
  1.861426E+00   1.381316E+01   
  1.868582E+00   1.381098E+01   
  1.875739E+00   1.381398E+01   
  1.882895E+00   1.382317E+01   
  1.890052E+00   1.383984E+01   
  1.893630E+00   1.385146E+01   
  1.897208E+00   1.386561E+01   
  1.900787E+00   1.388256E+01   
  1.904365E+00   1.390264E+01   
  1.907943E+00   1.392623E+01   
  1.911521E+00   1.395377E+01   
  1.916076E+00   1.399535E+01   
  1.920630E+00   1.404543E+01   
  1.925184E+00   1.410555E+01   
  1.927461E+00   1.413997E+01   
  1.929738E+00   1.417766E+01   
  1.932015E+00   1.421893E+01   
  1.934292E+00   1.426414E+01   
  1.936569E+00   1.431367E+01   
  1.938846E+00   1.436798E+01   
  1.941123E+00   1.442754E+01   
  1.943400E+00   1.449292E+01   
  1.945677E+00   1.456472E+01   
  1.947954E+00   1.464364E+01   
  1.949744E+00   1.471116E+01   
  1.951533E+00   1.478391E+01   
  1.953322E+00   1.486236E+01   
  1.955111E+00   1.494699E+01   
  1.956900E+00   1.503829E+01   
  1.958689E+00   1.513682E+01   
  1.960478E+00   1.524315E+01   
  1.962267E+00   1.535789E+01   
  1.964057E+00   1.548177E+01   
  1.965846E+00   1.561530E+01   
  1.967635E+00   1.575927E+01   
  1.969424E+00   1.591438E+01   
  1.971213E+00   1.608137E+01   
  1.973002E+00   1.626095E+01   
  1.974791E+00   1.645384E+01   
  1.976580E+00   1.666075E+01   
  1.978695E+00   1.692432E+01   
  1.980809E+00   1.720920E+01   
  1.982924E+00   1.751647E+01   
  1.985038E+00   1.784643E+01   
  1.987153E+00   1.819973E+01   
  1.989267E+00   1.857604E+01   
  1.991381E+00   1.897514E+01   
  1.993495E+00   1.939621E+01   
  1.996748E+00   2.008390E+01   
  2.000000E+00   2.081291E+01   
  2.007047E+00   2.248066E+01   
  2.010571E+00   2.332088E+01   
  2.014094E+00   2.413237E+01   
  2.016356E+00   2.462561E+01   
  2.018617E+00   2.508803E+01   
  2.020879E+00   2.551257E+01   
  2.023140E+00   2.589171E+01   
  2.025402E+00   2.621914E+01   
  2.027663E+00   2.648864E+01   
  2.029924E+00   2.669534E+01   
  2.032185E+00   2.683530E+01   
  2.034435E+00   2.690560E+01   
  2.036684E+00   2.690568E+01   
  2.038551E+00   2.685232E+01   
  2.040418E+00   2.675115E+01   
  2.042285E+00   2.660340E+01   
  2.044151E+00   2.641101E+01   
  2.046018E+00   2.617614E+01   
  2.047884E+00   2.590188E+01   
  2.049751E+00   2.559119E+01   
  2.051617E+00   2.524799E+01   
  2.055382E+00   2.447199E+01   
  2.059146E+00   2.361257E+01   
  2.066674E+00   2.177606E+01   
  2.069860E+00   2.099806E+01   
  2.073045E+00   2.024180E+01   
  2.076230E+00   1.951838E+01   
  2.079415E+00   1.883623E+01   
  2.082311E+00   1.825661E+01   
  2.085206E+00   1.771843E+01   
  2.088102E+00   1.722227E+01   
  2.089550E+00   1.698998E+01   
  2.090997E+00   1.676820E+01   
  2.092445E+00   1.655644E+01   
  2.093893E+00   1.635463E+01   
  2.095341E+00   1.616251E+01   
  2.096788E+00   1.597989E+01   
  2.098236E+00   1.580620E+01   
  2.099683E+00   1.564134E+01   
  2.101131E+00   1.548473E+01   
  2.102578E+00   1.533622E+01   
  2.104171E+00   1.518152E+01   
  2.105763E+00   1.503567E+01   
  2.107356E+00   1.489798E+01   
  2.108948E+00   1.476817E+01   
  2.110541E+00   1.464560E+01   
  2.112133E+00   1.452999E+01   
  2.113726E+00   1.442075E+01   
  2.115318E+00   1.431761E+01   
  2.116911E+00   1.422006E+01   
  2.118503E+00   1.412784E+01   
  2.120096E+00   1.404049E+01   
  2.121688E+00   1.395779E+01   
  2.124873E+00   1.380491E+01   
  2.128058E+00   1.366696E+01   
  2.130664E+00   1.356382E+01   
  2.133270E+00   1.346843E+01   
  2.135876E+00   1.337998E+01   
  2.138482E+00   1.329772E+01   
  2.141088E+00   1.322103E+01   
  2.143694E+00   1.314931E+01   
  2.146300E+00   1.308209E+01   
  2.148906E+00   1.301891E+01   
  2.151512E+00   1.295939E+01   
  2.154118E+00   1.290318E+01   
  2.156724E+00   1.284997E+01   
  2.159330E+00   1.279948E+01   
  2.164542E+00   1.270577E+01   
  2.169754E+00   1.262039E+01   
  2.173808E+00   1.255888E+01   
  2.177862E+00   1.250110E+01   
  2.181916E+00   1.244661E+01   
  2.185969E+00   1.239504E+01   
  2.190023E+00   1.234604E+01   
  2.194077E+00   1.229935E+01   
  2.198131E+00   1.225471E+01   
  2.202184E+00   1.221194E+01   
  2.210292E+00   1.213117E+01   
  2.218399E+00   1.205581E+01   
  2.226506E+00   1.198486E+01   
  2.234613E+00   1.191754E+01   
  2.243879E+00   1.184423E+01   
  2.253145E+00   1.177409E+01   
  2.262411E+00   1.170651E+01   
  2.271676E+00   1.164100E+01   
  2.280942E+00   1.157713E+01   
  2.290207E+00   1.151457E+01   
  2.299473E+00   1.145300E+01   
  2.308738E+00   1.139218E+01   
  2.327270E+00   1.127183E+01   
  2.345801E+00   1.115196E+01   
  2.364332E+00   1.103122E+01   
  2.382863E+00   1.090841E+01   
  2.401395E+00   1.078234E+01   
  2.419926E+00   1.065185E+01   
  2.438457E+00   1.051569E+01   
  2.456988E+00   1.037255E+01   
  2.475520E+00   1.022104E+01   
  2.494051E+00   1.005966E+01   
  2.512582E+00   9.886875E+00   
  2.531113E+00   9.701171E+00   
  2.549645E+00   9.501274E+00   
  2.568176E+00   9.286561E+00   
  2.586707E+00   9.057678E+00   
  2.605238E+00   8.817740E+00   
  2.614504E+00   8.695739E+00   
  2.623769E+00   8.574351E+00   
  2.633035E+00   8.455739E+00   
  2.642300E+00   8.342887E+00   
  2.656414E+00   8.191192E+00   
  2.670527E+00   8.081450E+00   
  2.681112E+00   8.042452E+00   
  2.691697E+00   8.056024E+00   
  2.701400E+00   8.128307E+00   
  2.706252E+00   8.190138E+00   
  2.711103E+00   8.271242E+00   
  2.715955E+00   8.373198E+00   
  2.720806E+00   8.497395E+00   
  2.725657E+00   8.645108E+00   
  2.730508E+00   8.817371E+00   
  2.735360E+00   9.014977E+00   
  2.740211E+00   9.238263E+00   
  2.745062E+00   9.487307E+00   
  2.749913E+00   9.761737E+00   
  2.754765E+00   1.006081E+01   
  2.759616E+00   1.038313E+01   
  2.769318E+00   1.109057E+01   
  2.776374E+00   1.164897E+01   
  2.783430E+00   1.223470E+01   
  2.790486E+00   1.283820E+01   
  2.797542E+00   1.344956E+01   
  2.808208E+00   1.436744E+01   
  2.818874E+00   1.525214E+01   
  2.829540E+00   1.608152E+01   
  2.840206E+00   1.684230E+01   
  2.850872E+00   1.752997E+01   
  2.861538E+00   1.814754E+01   
  2.872204E+00   1.870348E+01   
  2.882869E+00   1.920967E+01   
  2.890254E+00   1.953826E+01   
  2.900408E+00   1.997069E+01   
  2.910561E+00   2.039206E+01   
  2.920715E+00   2.081482E+01   
  2.930868E+00   2.125100E+01   
  2.941022E+00   2.171266E+01   
